Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
age_days,7.314e-4,0.0021102,-0.0033399,0.0048538,"[-0.0033399, 0.0048538]",59
Intercept,1.4232592,0.5624917,0.3223845,2.5516796,"[0.3223845, 2.5516796]",125
age_days,-0.0034417,0.0023113,-0.0080293,0.001088,"[-0.0080293, 0.001088]",125
Intercept,0.9190216,0.5469301,-0.1310486,2.0047992,"[-0.1310486, 2.0047992]",103
age_days,-0.0014382,0.0022374,-0.0057338,0.0030307,"[-0.0057338, 0.0030307]",103
Intercept,0.3208076,0.5439073,-0.7224998,1.3933402,"[-0.7224998, 1.3933402]",36
age_days,0.0012845,0.0022269,-0.003089,0.0055531,"[-0.003089, 0.0055531]",36
Intercept,0.668339,0.5214732,-0.3425835,1.703634,"[-0.3425835, 1.703634]",148
age_days,-5.547e-4,0.0021266,-0.0047848,0.0035256,"[-0.0047848, 0.0035256]",148
Intercept,0.4034222,0.5108734,-0.5912877,1.4089808,"[-0.5912877, 1.4089808]",191
age_days,6.996e-4,0.0021132,-0.0035203,0.0047884,"[-0.0035203, 0.0047884]",191
Intercept,0.6097019,0.5555351,-0.4974524,1.6760257,"[-0.4974524, 1.6760257]",169
age_days,-5.2e-5,0.0022794,-0.0044346,0.0044777,"[-0.0044346, 0.0044777]",169
Intercept,0.6367569,0.5417512,-0.4602949,1.665009,"[-0.4602949, 1.665009]",81
age_days,2.34e-5,0.0022105,-0.0042444,0.0044357,"[-0.0042444, 0.0044357]",81
Intercept,1.0436607,0.5192881,0.0079793,2.0485513,"[0.0079793, 2.0485513]",60
age_days,-0.0018421,0.0021103,-0.0059377,0.0023508,"[-0.0059377, 0.0023508]",60
Intercept,0.979049,0.5254398,-0.0730733,1.981452,"[-0.0730733, 1.981452]",37
age_days,-0.001855,0.0021589,-0.0060796,0.002363,"[-0.0060796, 0.002363]",37
Intercept,0.4821336,0.5223137,-0.5519533,1.5100264,"[-0.5519533, 1.5100264]",192
age_days,3.914e-4,0.0021376,-0.0038392,0.0046115,"[-0.0038392, 0.0046115]",192
Intercept,0.2968737,0.5188041,-0.7356521,1.297255,"[-0.7356521, 1.297255]",104
age_days,0.0010488,0.0021369,-0.0031781,0.0052018,"[-0.0031781, 0.0052018]",104
Intercept,1.1594917,0.5438442,0.095437,2.2310362,"[0.095437, 2.2310362]",149
age_days,-0.0022697,0.0022156,-0.0066998,0.0020123,"[-0.0066998, 0.0020123]",149
Intercept,0.5541069,0.5312249,-0.50137640000000006,1.5848177,"[-0.5013764, 1.5848177]",126
age_days,1.466e-4,0.0021819,-0.0042645,0.0043078,"[-0.0042645, 0.0043078]",126
Intercept,-0.0880148,0.5373673,-1.1603952,0.9566534,"[-1.1603952, 0.9566534]",170
age_days,0.0027846,0.0022103,-0.0014981,0.0071602,"[-0.0014981, 0.0071602]",170
Intercept,1.5191592,0.5147805,0.5314655,2.5322112,"[0.5314655, 2.5322112]",82
age_days,-0.0037794,0.0020922,-0.0078122,3.541e-4,"[-0.0078122, 0.0003541]",82
Intercept,1.4372024,0.5308132,0.4155212,2.5082022,"[0.4155212, 2.5082022]",61
age_days,-0.0035344,0.0021562,-0.007858,5.882e-4,"[-0.007858, 0.0005882]",61
Intercept,0.9022705,0.5341135,-0.1516706,1.9429475,"[-0.1516706, 1.9429475]",193
age_days,-0.0014383,0.0021866,-0.0056491,0.002933,"[-0.0056491, 0.002933]",193
Intercept,1.4328093,0.5212001,0.4160699,2.4562724,"[0.4160699, 2.4562724]",105
age_days,-0.0035609,0.0021444,-0.0076162,8.081e-4,"[-0.0076162, 0.0008081]",105
Intercept,0.2404164,0.5374303,-0.8034597,1.2866317,"[-0.8034597, 1.2866317]",38
age_days,0.0011853,0.0021778,-0.0030424,0.0054398,"[-0.0030424, 0.0054398]",38
