Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,-5.869e-4,0.0023138,-0.0048748,0.0042159,"[-0.0048748, 0.0042159]",184
Intercept,0.6837582,0.6377024,-0.5443475,1.9587258,"[-0.5443475, 1.9587258]",30
z_age_days,-0.001149,0.002637,-0.0064356,0.0039146,"[-0.0064356, 0.0039146]",30
Intercept,0.3201199,0.5729614,-0.8190842,1.4371836,"[-0.8190842, 1.4371836]",52
z_age_days,3.084e-4,0.0023293,-0.0043692,0.0048055,"[-0.0043692, 0.0048055]",52
Intercept,0.5204544,0.7160717,-0.8917962,1.9306734,"[-0.8917962, 1.9306734]",118
z_age_days,-5.028e-4,0.0028788,-0.0062524,0.0051447,"[-0.0062524, 0.0051447]",118
Intercept,0.2778823,0.5347891,-0.7301931,1.3564473,"[-0.7301931, 1.3564473]",75
z_age_days,4.832e-4,0.0021655,-0.0037614,0.0047078,"[-0.0037614, 0.0047078]",75
Intercept,1.0816301,0.5953374,-0.0538098,2.2767447,"[-0.0538098, 2.2767447]",163
z_age_days,-0.0027149,0.0024989,-0.0077723,0.002039,"[-0.0077723, 0.002039]",163
Intercept,0.03105,0.5803678,-1.1128758,1.1488631,"[-1.1128758, 1.1488631]",141
z_age_days,0.0013979,0.002365,-0.003168,0.0060872,"[-0.003168, 0.0060872]",141
Intercept,-0.4145801,0.5473321,-1.466373,0.6810506,"[-1.466373, 0.6810506]",31
z_age_days,0.0032522,0.0022962,-0.0011242,0.0078977,"[-0.0011242, 0.0078977]",31
Intercept,0.5333987,0.5206677,-0.4742133,1.5583163,"[-0.4742133, 1.5583163]",53
z_age_days,-6.778e-4,0.0021366,-0.0047905,0.0035566,"[-0.0047905, 0.0035566]",53
Intercept,0.584258,0.6361803,-0.6977331,1.8067916,"[-0.6977331, 1.8067916]",97
z_age_days,-7.215e-4,0.0026651,-0.0059689,0.0045818,"[-0.0059689, 0.0045818]",97
Intercept,0.4569741,0.5555473,-0.6211126,1.5560912,"[-0.6211126, 1.5560912]",185
z_age_days,-2.817e-4,0.0022688,-0.0046966,0.0041845,"[-0.0046966, 0.0041845]",185
Intercept,0.4830838,0.5461393,-0.5737899,1.5799181,"[-0.5737899, 1.5799181]",119
z_age_days,-3.438e-4,0.0022594,-0.0048377,0.0040625,"[-0.0048377, 0.0040625]",119
