Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,0.0143854,0.103659,-0.1885553,0.2236583,"[-0.1885553, 0.2236583]",70
Intercept,0.5679419,0.071813,0.426261,0.7059353,"[0.426261, 0.7059353]",190
z_age_days,0.1906193,0.1058965,-0.0133542,0.4023678,"[-0.0133542, 0.4023678]",190
Intercept,0.5878464,0.072944,0.4434381,0.7271368,"[0.4434381, 0.7271368]",160
z_age_days,-0.1196818,0.1042961,-0.3258148,0.083372,"[-0.3258148, 0.083372]",160
Intercept,0.5765597,0.0704829,0.4387504,0.7142112,"[0.4387504, 0.7142112]",130
z_age_days,-0.0328115,0.0990536,-0.2254869,0.1628073,"[-0.2254869, 0.1628073]",130
Intercept,0.6301349,0.0780019,0.4746255,0.7796038,"[0.4746255, 0.7796038]",100
z_age_days,-0.0968769,0.1176504,-0.3271765,0.135569,"[-0.3271765, 0.135569]",100
Intercept,0.6149371,0.0797889,0.4580325,0.771414,"[0.4580325, 0.771414]",41
z_age_days,0.0440534,0.1051137,-0.167643,0.2480219,"[-0.167643, 0.2480219]",41
Intercept,0.5798911,0.0720902,0.4375703,0.7223397,"[0.4375703, 0.7223397]",11
z_age_days,0.1145953,0.105007,-0.0877062,0.3244478,"[-0.0877062, 0.3244478]",11
Intercept,0.6028762,0.0727084,0.4600149,0.7447027,"[0.4600149, 0.7447027]",221
z_age_days,-0.0651355,0.1081342,-0.2801845,0.1422853,"[-0.2801845, 0.1422853]",221
Intercept,0.5710466,0.0756275,0.4206838,0.7136915,"[0.4206838, 0.7136915]",191
z_age_days,0.0335114,0.1032753,-0.1738861,0.2303922,"[-0.1738861, 0.2303922]",191
Intercept,0.5212855,0.0778558,0.3716786,0.6778813,"[0.3716786, 0.6778813]",71
z_age_days,0.0087943,0.1136343,-0.22249940000000001,0.2264214,"[-0.2224994, 0.2264214]",71
Intercept,0.5881698,0.074242,0.4448248,0.7335271,"[0.4448248, 0.7335271]",161
z_age_days,0.1696809,0.1085948,-0.0408906,0.3873841,"[-0.0408906, 0.3873841]",161
Intercept,0.5430288,0.072245,0.4000527,0.6828007,"[0.4000527, 0.6828007]",101
z_age_days,-0.0194796,0.1081907,-0.2400205,0.1885006,"[-0.2400205, 0.1885006]",101
Intercept,0.6137574,0.0717119,0.4739993,0.7506283,"[0.4739993, 0.7506283]",131
z_age_days,-8.906e-4,0.1083535,-0.2119509,0.215248,"[-0.2119509, 0.215248]",131
Intercept,0.5110386,0.0760292,0.3643454,0.6639521,"[0.3643454, 0.6639521]",42
z_age_days,-0.0633408,0.1166716,-0.2929746,0.166565,"[-0.2929746, 0.166565]",42
Intercept,0.5614059,0.0721259,0.4193993,0.7010845,"[0.4193993, 0.7010845]",222
z_age_days,0.0609045,0.1038403,-0.136553,0.2708321,"[-0.136553, 0.2708321]",222
Intercept,0.5761088,0.0708013,0.4334453,0.7125831,"[0.4334453, 0.7125831]",192
z_age_days,0.0185828,0.1019484,-0.1749753,0.2216861,"[-0.1749753, 0.2216861]",192
Intercept,0.5396872,0.0772733,0.3893269,0.6919226,"[0.3893269, 0.6919226]",12
z_age_days,0.0562453,0.1127075,-0.1689583,0.275532,"[-0.1689583, 0.275532]",12
Intercept,0.5543799,0.0726841,0.4059991,0.6905782,"[0.4059991, 0.6905782]",72
z_age_days,0.0735397,0.1135013,-0.1510339,0.294518,"[-0.1510339, 0.294518]",72
Intercept,0.6723378,0.0754384,0.5257571,0.8200619,"[0.5257571, 0.8200619]",132
z_age_days,-0.2203948,0.1123146,-0.4389103,0.0018088,"[-0.4389103, 0.0018088]",132
Intercept,0.6176405,0.0756569,0.4704832,0.7669168,"[0.4704832, 0.7669168]",162
z_age_days,-0.0702856,0.1157255,-0.3040292,0.1527829,"[-0.3040292, 0.1527829]",162
Intercept,0.6002967,0.0730719,0.4581437,0.7450519,"[0.4581437, 0.7450519]",102
z_age_days,0.0695348,0.1230469,-0.1753898,0.30961,"[-0.1753898, 0.30961]",102
Intercept,0.5516027,0.0722408,0.4049882,0.6893016,"[0.4049882, 0.6893016]",193
z_age_days,-0.0661086,0.1013506,-0.2641555,0.1364639,"[-0.2641555, 0.1364639]",193
Intercept,0.6564189,0.074729,0.5042664,0.7996536,"[0.5042664, 0.7996536]",43
z_age_days,0.0439415,0.1147347,-0.175756,0.2797753,"[-0.175756, 0.2797753]",43
Intercept,0.6393108,0.075266,0.4900088,0.7843292,"[0.4900088, 0.7843292]",223
z_age_days,0.1068655,0.1216804,-0.1296869,0.3479522,"[-0.1296869, 0.3479522]",223
Intercept,0.5713016,0.0737312,0.4287774,0.7157092,"[0.4287774, 0.7157092]",13
z_age_days,0.0680956,0.1420754,-0.2055044,0.3604627,"[-0.2055044, 0.3604627]",13
Intercept,0.5661986,0.0745446,0.4213589,0.7121104,"[0.4213589, 0.7121104]",73
z_age_days,0.0846479,0.1239185,-0.1618868,0.3238367,"[-0.1618868, 0.3238367]",73
Intercept,0.5728856,0.0727621,0.4260059,0.7102241,"[0.4260059, 0.7102241]",103
z_age_days,-0.0628615,0.1102823,-0.2817753,0.1514522,"[-0.2817753, 0.1514522]",103
Intercept,0.5372261,0.0733849,0.3933057,0.6802503,"[0.3933057, 0.6802503]",133
z_age_days,0.005022,0.109058,-0.2038704,0.2276653,"[-0.2038704, 0.2276653]",133
Intercept,0.5151465,0.0706159,0.3784146,0.6543462,"[0.3784146, 0.6543462]",194
z_age_days,0.0353433,0.1037636,-0.1765345,0.232911,"[-0.1765345, 0.232911]",194
Intercept,0.5980904,0.076226,0.4480869,0.7495806,"[0.4480869, 0.7495806]",163
z_age_days,0.0777689,0.1106909,-0.1443622,0.2922031,"[-0.1443622, 0.2922031]",163
Intercept,0.6352868,0.0744711,0.4844551,0.7750372,"[0.4844551, 0.7750372]",44
z_age_days,0.1469902,0.1065917,-0.0676823,0.3488806,"[-0.0676823, 0.3488806]",44
Intercept,0.5996137,0.0837883,0.4359406,0.766691,"[0.4359406, 0.766691]",14
